"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","species_name","algorithm","run","partition","presencenb","absencenb","correlation","pvaluecor","AUC","AUC_pval","AUCratio","pROC","pROC_pval","TSSmax","KAPPAmax","dismo_threshold","prevalence.value","PPP","NPP","TPR","TNR","FPR","FNR","CCR","Kappa","F_score","Jaccard"
"1",-1e-04,-1e-04,-1e-04,0.33343333,0.33323333,0.33323333,"tacinga_werneri","bioclim",1,1,6,10,-0.2,0.4576879050752,0.45,NA,0.9,NA,NA,0,0,"spec_sens",0.375,0.375,NA,1,0,1,0,0.375,0,0.545454545454546,0.375
"2",0.98577215,0.98577215,-1.301e-05,0.66994148,0.83123524,0.00149528,"tacinga_werneri","glm",1,1,6,10,-0.106345610981913,0.695064786982745,0.583333333333333,NA,1.16666666666667,1.87083152331273,0,0.5,0.555555555555556,"spec_sens",0.375,1,0.769230769230769,0.5,1,0,0.5,0.8125,0.555555555555556,0.666666666666667,0.5
"3",0.61860613,0.61860613,0.03464914,0.41846669,0.46615264,0.0938368,"tacinga_werneri","maxnet",1,1,6,10,0.0450988682587146,0.868278645651967,0.6,NA,1.2,1.81559269514399,0,0.5,0.555555555555556,"spec_sens",0.375,1,0.769230769230769,0.5,1,0,0.5,0.8125,0.555555555555556,0.666666666666667,0.5
"4",0.16656667,0.16656667,-1e-04,0.33323333,0.16656667,0.16656667,"tacinga_werneri","bioclim",1,2,6,10,0.585415680400096,0.0171965209689693,0.833333333333333,NA,1.66666666666667,1.97391078321577,0,0.733333333333333,0.733333333333333,"spec_sens",0.375,0.833333333333333,0.9,0.833333333333333,0.9,0.1,0.166666666666667,0.875,0.733333333333333,0.833333333333333,0.714285714285714
"5",0.42965263,0.42965263,0.32116455,0.35224361,0.35224361,0.34654818,"tacinga_werneri","glm",1,2,6,10,0.733030000808497,0.00123535668477399,0.916666666666667,NA,1.83333333333333,1.75373965053688,0,0.733333333333333,0.733333333333333,"spec_sens",0.375,0.833333333333333,0.9,0.833333333333333,0.9,0.1,0.166666666666667,0.875,0.733333333333333,0.833333333333333,0.714285714285714
"6",0.51211277,0.51211277,0.51211277,0.37787888,0.51211277,0.52414333,"tacinga_werneri","maxnet",1,2,6,10,0.682102807480889,0.00360508756406937,1,NA,2,1.92150582857483,0,1,1,"spec_sens",0.375,1,1,1,1,0,0,1,1,1,1
"7",0.16656667,0.16656667,-1e-04,0.16676667,0.16656667,0.16656667,"tacinga_werneri","bioclim",1,3,6,10,0.149071198499986,0.581626836953901,0.566666666666667,NA,1.13333333333333,1.9699010815596,0,0.133333333333333,0.142857142857143,"spec_sens",0.375,0.5,0.666666666666667,0.333333333333333,0.8,0.2,0.666666666666667,0.625,0.142857142857143,0.4,0.25
"8",0.3417507,0.3417507,0.3417507,0.3417507,0.5322125,0.51830108,"tacinga_werneri","glm",1,3,6,10,0.516319438852761,0.0406043364528155,0.833333333333333,NA,1.66666666666667,1.89998008033279,0,0.7,0.636363636363636,"spec_sens",0.375,0.666666666666667,1,1,0.7,0.3,0,0.8125,0.636363636363636,0.8,0.666666666666667
"9",0.42510512,0.42510512,0.38957808,0.38490117,0.43958058,0.41255588,"tacinga_werneri","maxnet",1,3,6,10,0.301382493264567,0.2566404229302,0.733333333333333,NA,1.46666666666667,1.73208604217485,0,0.533333333333333,0.5,"spec_sens",0.375,0.625,0.875,0.833333333333333,0.7,0.3,0.166666666666667,0.75,0.5,0.714285714285714,0.555555555555556
